Equipment Name,Type,Flowrate,Pressure,Temperature
Distillation Column-001,Distillation Column,220.0,18.5,95.0
Compressor-002,Compressor,130.0,21.0,58.0
Heat Exchanger-003,Heat Exchanger,190.0,12.5,68.0
Reactor-003,Reactor,195.0,15.0,78.0
Pump-004,Pump,160.0,11.0,47.0
Centrifuge-001,Centrifuge,145.0,9.5,42.0
Evaporator-001,Evaporator,210.0,16.0,85.0
Pump-005,Pump,158.0,10.5,46.0
Heat Exchanger-004,Heat Exchanger,182.0,12.2,64.0
Reactor-004,Reactor,205.0,15.8,82.0
Separator-002,Separator,170.0,12.8,69.0
Mixer-002,Mixer,135.0,8.2,39.5
